stratification,variable,prop,n,se,lci,uci
45-64;Black Heterosexual Men,b4,47.52851711026616,526,2.177438658351932,43.26073733989637,51.79629688063595
45-64;Black Heterosexual Men,c3,73.33333333333333,555,1.8771050912305163,69.65420735452152,77.01245931214514
45-64;Black Heterosexual Men,c4,45.04504504504504,555,2.1119345221705608,40.905653381590746,49.18443670849935
45-64;Black Sexual Minority Men,a1,77.65072765072765,962,1.3431265153213752,75.01819968069775,80.28325562075754
45-64;Black Sexual Minority Men,a2,74.74012474012474,962,1.400893028158876,71.99437440493334,77.48587507531613
45-64;Black Sexual Minority Men,a3,54.054054054054056,962,1.606756991863128,50.90481035000233,57.203297758105784
45-64;Black Sexual Minority Men,a4,34.71933471933472,962,1.534936619121329,31.710858945856916,37.72781049281252
45-64;Black Sexual Minority Men,b2,96.25167336010709,747,0.6949643999915648,94.88954313612362,97.61380358409056
45-64;Black Sexual Minority Men,b3,72.32267037552155,719,1.6685332841493046,69.05234513858892,75.59299561245419
45-64;Black Sexual Minority Men,b4,46.453407510431155,719,1.8599885151188538,42.8078300207982,50.09898500006411
45-64;Black Sexual Minority Men,c3,69.61178045515395,747,1.682804627846161,66.31348338457548,72.91007752573242
45-64;Black Sexual Minority Men,c4,44.712182061579654,747,1.8191451651239938,41.146657537936626,48.27770658522268
45-64;Non-Black Heterosexual Men,a1,61,100,4.877499359302879,51.44010125576636,70.55989874423364
45-64;Non-Black Heterosexual Men,a2,56.00000000000001,100,4.963869458396342,46.27081586154318,65.72918413845683
45-64;Non-Black Heterosexual Men,a3,41,100,4.9183330509431755,31.36006722015138,50.63993277984862
45-64;Non-Black Heterosexual Men,a4,31,100,4.624932431938871,21.93513243339981,40.064867566600185
45-64;Non-Black Heterosexual Men,b2,91.80327868852459,61,3.512240634819573,84.91928704427822,98.68727033277096
45-64;Non-Black Heterosexual Men,b3,73.21428571428571,56,5.917735055950024,61.61552500462366,84.81304642394775
45-64;Non-Black Heterosexual Men,b4,55.35714285714286,56,6.643069724489687,42.33672619714308,68.37755951714264
45-64;Non-Black Heterosexual Men,c3,67.21311475409836,61,6.010521758620994,55.432492107201206,78.99373740099551
45-64;Non-Black Heterosexual Men,c4,50.81967213114754,61,6.4009837071835936,38.273744065067696,63.36560019722739
45-64;Non-Black Sexual Minority Men,a1,74.25474254742548,369,2.276132473103625,69.79352290014236,78.7159621947086
45-64;Non-Black Sexual Minority Men,a2,70.18970189701898,369,2.3812592244574526,65.52243381708237,74.85696997695558
45-64;Non-Black Sexual Minority Men,a3,47.696476964769644,369,2.600132257229323,42.60021774060017,52.79273618893912
45-64;Non-Black Sexual Minority Men,a4,35.77235772357724,369,2.4952932360790947,30.88158298086221,40.66313246629226
45-64;Non-Black Sexual Minority Men,b2,94.52554744525547,274,1.3742624095998057,91.83199312243985,97.2191017680711
45-64;Non-Black Sexual Minority Men,b3,67.95366795366795,259,2.8996510288032114,62.270351937213654,73.63698397012224
45-64;Non-Black Sexual Minority Men,b4,50.965250965250966,259,3.106269839987964,44.876962078874556,57.05353985162738
45-64;Non-Black Sexual Minority Men,c3,64.23357664233576,274,2.8956330674297344,58.558135830173484,69.90901745449804
45-64;Non-Black Sexual Minority Men,c4,48.175182481751825,274,3.0185980945293074,42.25873021647438,54.091634747029275
45-64;Unknown,a1,75,4,21.650635094610966,32.56475521456251,117.4352447854375
45-64;Unknown,a2,75,4,21.650635094610966,32.56475521456251,117.4352447854375
45-64;Unknown,a3,25,4,21.650635094610966,-17.435244785437494,67.4352447854375
45-64;Unknown,a4,25,4,21.650635094610966,-17.435244785437494,67.4352447854375
45-64;Unknown,b2,100,3,0,100,100
45-64;Unknown,b3,33.33333333333333,3,27.216552697590867,-20.011109953944768,86.67777662061143
45-64;Unknown,b4,33.33333333333333,3,27.216552697590867,-20.011109953944768,86.67777662061143
45-64;Unknown,c3,33.33333333333333,3,27.216552697590867,-20.011109953944768,86.67777662061143
45-64;Unknown,c4,33.33333333333333,3,27.216552697590867,-20.011109953944768,86.67777662061143
65 and over,a1,89.08450704225352,284,1.8503913834798462,85.45773993063302,92.71127415387403
65 and over,a2,86.61971830985915,284,2.0201417386008353,82.6602405022015,90.57919611751679
65 and over,a3,71.83098591549296,284,2.6692089177000353,66.5993364368009,77.06263539418504
65 and over,a4,44.36619718309859,284,2.9480599169648922,38.587999745847405,50.144394620349786
65 and over,b2,97.23320158102767,253,1.03118311191583,95.21208268167265,99.2543204803827
65 and over,b3,82.92682926829268,246,2.3990376749014093,78.22471542548591,87.62894311109945
65 and over,b4,51.21951219512195,246,3.1869352137962816,44.97311917608124,57.46590521416266
65 and over,c3,80.63241106719367,253,2.4844619049914285,75.76286573341048,85.50195640097688
65 and over,c4,49.80237154150198,253,3.143448512283451,43.64121245742641,55.96353062557754
65 and over;Black Heterosexual Men,a1,88.31168831168831,154,2.588955737318138,83.23733506654476,93.38604155683186
65 and over;Black Heterosexual Men,a2,86.36363636363636,154,2.765377255695799,80.9434969424726,91.78377578480013
65 and over;Black Heterosexual Men,a3,71.42857142857143,154,3.640337081697325,64.29351074844467,78.56363210869819
65 and over;Black Heterosexual Men,a4,42.2077922077922,154,3.9798857075241383,34.4072162210449,50.00836819453952
65 and over;Black Heterosexual Men,b2,97.79411764705883,136,1.2594417482358085,95.32561182051663,100.262623473601
65 and over;Black Heterosexual Men,b3,82.70676691729322,133,3.2793124598239785,76.279314496038225,89.13421933854822
65 and over;Black Heterosexual Men,b4,48.87218045112782,133,4.334446763411795,40.3766647948407,57.367696107414936
65 and over;Black Heterosexual Men,c3,80.88235294117648,136,3.3718997490686435,74.27342943300192,87.49127644935102
65 and over;Black Heterosexual Men,c4,47.794117647058826,136,4.283290106919754,39.39886903749611,56.18936625662154
65 and over;Black Sexual Minority Men,a1,88.88888888888889,72,3.703703703703704,81.62962962962963,96.14814814814814
65 and over;Black Sexual Minority Men,a2,86.11111111111111,72,4.075652051309955,78.12283309054361,94.09938913167862
65 and over;Black Sexual Minority Men,a3,72.22222222222221,72,5.278589931014528,61.87618595743375,82.5682584870107
65 and over;Black Sexual Minority Men,a4,45.83333333333333,72,5.872060599058251,34.32409455917916,57.3425721074875
65 and over;Black Sexual Minority Men,b2,96.875,64,2.174907954230477,92.61218040970827,101.13781959029173
65 and over;Black Sexual Minority Men,b3,83.87096774193549,62,4.671045928712474,74.71571772165903,93.02621776221194
65 and over;Black Sexual Minority Men,b4,53.2258064516129,62,6.336777155744095,40.80572322635447,65.64588967687132
65 and over;Black Sexual Minority Men,c3,81.25,64,4.878904686248749,71.68734681495246,90.81265318504754
65 and over;Black Sexual Minority Men,c4,51.5625,64,6.24694749676542,39.318482906339774,63.80651709366022
65 and over;Non-Black Heterosexual Men,a1,91.66666666666666,12,7.978559231302819,76.02869057331314,107.30464276002019
65 and over;Non-Black Heterosexual Men,a2,91.66666666666666,12,7.978559231302819,76.02869057331314,107.30464276002019
65 and over;Non-Black Heterosexual Men,a3,75,12,12.5,50.5,99.5
65 and over;Non-Black Heterosexual Men,a4,33.33333333333333,12,13.608276348795433,6.661111689694282,60.00555497697238
65 and over;Non-Black Heterosexual Men,b2,100,11,0,100,100
65 and over;Non-Black Heterosexual Men,b3,81.81818181818183,11,11.629129983033296,59.025087051436564,104.61127658492708
65 and over;Non-Black Heterosexual Men,b4,36.36363636363637,11,14.504073367590284,7.935652563159406,64.79162016411333
65 and over;Non-Black Heterosexual Men,c3,81.81818181818183,11,11.629129983033296,59.025087051436564,104.61127658492708
65 and over;Non-Black Heterosexual Men,c4,36.36363636363637,11,14.504073367590284,7.935652563159406,64.79162016411333
65 and over;Non-Black Sexual Minority Men,a1,93.33333333333333,45,3.718489006818113,86.04509487996982,100.62157178669683
65 and over;Non-Black Sexual Minority Men,a2,88.88888888888889,45,4.684855792842044,79.70657153491848,98.07120624285929
65 and over;Non-Black Sexual Minority Men,a3,73.33333333333333,45,6.592176432973923,60.412667524704446,86.25399914196221
65 and over;Non-Black Sexual Minority Men,a4,53.333333333333336,45,7.436978013636226,38.756856426606326,67.90981024006032
65 and over;Non-Black Sexual Minority Men,b2,95.23809523809523,42,3.2860264730588313,88.79748335089992,101.67870712529054
65 and over;Non-Black Sexual Minority Men,b3,82.5,40,6.007807420348958,70.72469745611603,94.27530254388395
65 and over;Non-Black Sexual Minority Men,b4,60,40,7.745966692414834,44.817905282866924,75.18209471713307
65 and over;Non-Black Sexual Minority Men,c3,78.57142857142857,42,6.331466145913703,66.1617549254377,90.98110221741943
65 and over;Non-Black Sexual Minority Men,c4,57.14285714285714,42,7.636035483212125,42.176227595761375,72.1094866899529
65 and over;Unknown,a1,0,1,0,0,0
65 and over;Unknown,a2,0,1,0,0,0
65 and over;Unknown,a3,0,1,0,0,0
65 and over;Unknown,a4,0,1,0,0,0
65 and over;Unknown,b2,NA,0,NA,NA,NA
65 and over;Unknown,b3,NA,0,NA,NA,NA
65 and over;Unknown,b4,NA,0,NA,NA,NA
65 and over;Unknown,c3,NA,0,NA,NA,NA
65 and over;Unknown,c4,NA,0,NA,NA,NA
Black Heterosexual Men,a1,68.33602584814217,1238,1.3220480745978451,65.74481162193038,70.92724007435395
Black Heterosexual Men,a2,65.18578352180937,1238,1.3539244635547099,62.53209157324214,67.8394754703766
Black Heterosexual Men,a3,47.172859450726975,1238,1.4187776247734811,44.39205530617096,49.953663595283
Black Heterosexual Men,a4,31.098546042003232,1238,1.3156001469239087,28.51996975403237,33.6771223299741
Black Heterosexual Men,b2,95.39007092198581,846,0.7209639115912116,93.97698165526704,96.80316018870458
Black Heterosexual Men,b3,72.366790582403965,807,1.5741588415066436,69.28143925305093,75.45214191175698
Black Heterosexual Men,b4,47.70755885997522,807,1.7582324378762892,44.26142328173769,51.153694438212746
Black Heterosexual Men,c3,69.03073286052009,846,1.5896500376090188,65.91501878680641,72.14644693423378
Black Heterosexual Men,c4,45.508274231678485,846,1.7120848445447596,42.15258793637076,48.86396052698622
Black Sexual Minority Men,a1,59.13335823683228,2677,0.9501158467630857,57.27113117717663,60.99558529648793
Black Sexual Minority Men,a2,56.55584609637654,2677,0.9580324910988042,54.678102413822884,58.4335897789302
Black Sexual Minority Men,a3,33.47030257751214,2677,0.9120389958995525,31.682706145549016,35.25789900947526
Black Sexual Minority Men,a4,25.849831901382142,2677,0.8461760831492897,24.191326778409532,27.508337024354752
Black Sexual Minority Men,b2,95.64118761844598,1583,0.5131757322205734,94.63536318329366,96.64701205359832
Black Sexual Minority Men,b3,59.18097754293263,1514,1.263163097728786,56.705177871384215,61.65677721448105
Black Sexual Minority Men,b4,45.70673712021136,1514,1.2802657970617566,43.197416157970316,48.2160580824524
Black Sexual Minority Men,c3,56.601389766266585,1583,1.24569293422939,54.15983161517698,59.042947917356194
Black Sexual Minority Men,c4,43.71446620341125,1583,1.2467245943198864,41.27088599854427,46.15804640827822
Non-Black Heterosexual Men,a1,48.223350253807105,197,3.560102887122824,41.24554859504637,55.201151912567845
Non-Black Heterosexual Men,a2,45.17766497461929,197,3.5457453483928703,38.228004091769265,52.12732585746932
Non-Black Heterosexual Men,a3,28.426395939086298,197,3.2136918439913758,22.1275599248632,34.7252319533094
Non-Black Heterosexual Men,a4,23.3502538071066,197,3.014172132432184,17.442476427539518,29.258031186673684
Non-Black Heterosexual Men,b2,93.6842105263158,95,2.495658863944435,88.7927191529847,98.57570189964689
Non-Black Heterosexual Men,b3,62.92134831460674,89,5.119952990624923,52.886240452981895,72.95645617623158
Non-Black Heterosexual Men,b4,51.68539325842697,89,5.2969775668224965,41.303317227454876,62.06746928939906
Non-Black Heterosexual Men,c3,58.94736842105262,95,5.047088372035536,49.05507521186298,68.83966163024228
Non-Black Heterosexual Men,c4,48.421052631578945,95,5.127333281651806,38.37147939954141,58.47062586361649
Non-Black Sexual Minority Men,a1,64.49044585987261,628,1.9095915204908962,60.74764647971046,68.23324524003476
Non-Black Sexual Minority Men,a2,60.828025477707,628,1.9478691052943153,57.010202031330145,64.64584892408386
Non-Black Sexual Minority Men,a3,38.53503184713376,628,1.9420565406527122,34.728601027454445,42.34146266681308
Non-Black Sexual Minority Men,a4,31.528662420382165,628,1.8540752532239655,27.89467492406319,35.16264991670114
Non-Black Sexual Minority Men,b2,94.32098765432099,405,1.150040314210742,92.06690863846794,96.57506667017404
Non-Black Sexual Minority Men,b3,63.35078534031413,382,2.4653390593341666,58.518720784019166,68.1828498966091
Non-Black Sexual Minority Men,b4,51.832460732984295,382,2.5565039157737814,46.82171305806769,56.84320840790092
Non-Black Sexual Minority Men,c3,59.75308641975309,405,2.4367947502886125,54.9769687091874,64.52920413031877
Non-Black Sexual Minority Men,c4,48.888888888888886,405,2.4839064375228226,44.020432271344156,53.757345506433616
Total,a1,61.74863387978142,4758,0.7045712748686839,60.3676741810388,63.129593578524045
Total,a2,58.848255569567044,4758,0.7134256224907534,57.449941349485165,60.246569789648916
Total,a3,37.41067675493905,4758,0.7015129479844708,36.03571137688949,38.78564213298861
Total,a4,27.826817990752417,4758,0.649691943618295,26.55342178126056,29.100214200244274
Total,b2,95.30292716133424,2938,0.39033803516090493,94.53786461241887,96.0679897102496
Total,b3,63.57142857142857,2800,0.9094378810425805,61.78893032458511,65.35392681827203
Total,b4,47.285714285714285,2800,0.9435178575532452,45.436419284909924,49.13500928651865
Total,c3,60.585432266848194,2938,0.9015433072391829,58.8184073846594,62.35245714903699
Total,c4,45.064669843430906,2938,0.9179479801695547,43.26549180229858,46.86384788456323
Unknown,a1,50,18,11.785113019775793,26.90117848123945,73.09882151876054
Unknown,a2,44.44444444444444,18,11.712139482105108,21.488651059518432,67.40023782937045
Unknown,a3,11.11111111111111,18,7.4074074074074066,-3.407407407407406,25.629629629629626
Unknown,a4,16.666666666666664,18,8.784104611578831,-0.550178372027843,33.88351170536117
Unknown,b2,88.88888888888889,9,10.475656017578485,68.35660309443506,109.42117468334271
Unknown,b3,25,8,15.309310892394862,-5.0062493490939275,55.00624934909393
Unknown,b4,37.5,8,17.116329922036442,3.951993352808575,71.04800664719141
Unknown,c3,22.22222222222222,9,13.857990321384966,-4.939438807692315,49.383883252136755
Unknown,c4,33.33333333333333,9,15.713484026367725,2.534904641652591,64.13176202501407
